Node Name,Op Type,Activation,Weights,Bias
/model.12/m.0/cv2/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.12/m.0/cv2/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.12/m.0/cv2/act/Mul,Mul,BFLOAT16,,
/model.12/Concat,Concat,BFLOAT16,,
/model.12/cv2/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.12/cv2/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.12/cv2/act/Mul,Mul,BFLOAT16,,
/model.13/Resize,Resize,BFLOAT16,,
/model.14/Concat,Concat,BFLOAT16,,
/model.15/cv1/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.15/cv1/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.15/cv1/act/Mul,Mul,BFLOAT16,,
/model.15/Split_output_0_0,Slice,BFLOAT16,,
/model.15/Split_output_1_1,Slice,BFLOAT16,,
/model.15/m.0/cv1/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.15/m.0/cv1/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.15/m.0/cv1/act/Mul,Mul,BFLOAT16,,
/model.15/m.0/cv2/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.15/m.0/cv2/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.15/m.0/cv2/act/Mul,Mul,BFLOAT16,,
/model.15/Concat,Concat,BFLOAT16,,
/model.15/cv2/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.15/cv2/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.15/cv2/act/Mul,Mul,BFLOAT16,,
/model.16/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.22/cv2.0/cv2.0.0/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.22/cv3.0/cv3.0.0/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.16/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.22/cv2.0/cv2.0.0/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.22/cv3.0/cv3.0.0/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.16/act/Mul,Mul,BFLOAT16,,
/model.22/cv2.0/cv2.0.0/act/Mul,Mul,BFLOAT16,,
/model.22/cv3.0/cv3.0.0/act/Mul,Mul,BFLOAT16,,
/model.17/Concat,Concat,BFLOAT16,,
/model.22/cv2.0/cv2.0.1/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.22/cv3.0/cv3.0.1/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.18/cv1/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.22/cv2.0/cv2.0.1/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.22/cv3.0/cv3.0.1/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.18/cv1/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.22/cv2.0/cv2.0.1/act/Mul,Mul,BFLOAT16,,
/model.22/cv3.0/cv3.0.1/act/Mul,Mul,BFLOAT16,,
/model.18/cv1/act/Mul,Mul,BFLOAT16,,
/model.22/cv2.0/cv2.0.2/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.22/cv3.0/cv3.0.2/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.18/Split_output_0_0,Slice,BFLOAT16,,
/model.18/Split_output_1_1,Slice,BFLOAT16,,
/model.22/Concat,Concat,BFLOAT16,,
/model.18/m.0/cv1/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.22/Reshape,Reshape,BFLOAT16,,
/model.18/m.0/cv1/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.18/m.0/cv1/act/Mul,Mul,BFLOAT16,,
/model.18/m.0/cv2/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.18/m.0/cv2/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.18/m.0/cv2/act/Mul,Mul,BFLOAT16,,
/model.18/Concat,Concat,BFLOAT16,,
/model.18/cv2/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.18/cv2/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.18/cv2/act/Mul,Mul,BFLOAT16,,
/model.19/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.22/cv2.1/cv2.1.0/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.22/cv3.1/cv3.1.0/conv/Conv,Conv,BFLOAT16,BFLOAT16,BFLOAT16
/model.19/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.22/cv2.1/cv2.1.0/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.22/cv3.1/cv3.1.0/act/Sigmoid,Sigmoid,BFLOAT16,,
/model.19/act/Mul,Mul,BFLOAT16,,
